#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
62.4%	3120000	-234812.56999719772	303.95042279239647	631
62.6%	3130000	-235873.41441858443	300.07798307842444	631
62.8%	3140000	-235194.3671697441	302.6817455648865	631
63.0%	3150000	-235230.62746942672	301.1505286174168	631
63.2%	3160000	-235079.85766351852	300.94635807623945	631
63.4%	3170000	-234884.05108392867	303.71111049822497	631
63.6%	3180000	-235802.22378290328	300.4793398017204	631
63.8%	3190000	-234751.24784601363	300.95646103327863	631
64.0%	3200000	-235550.32137811813	299.8765786447263	631
64.2%	3210000	-235335.01710260543	298.2543771105492	631
64.4%	3220000	-235890.2308782402	302.7306220836834	631
64.6%	3230000	-234297.15307367477	298.67001258466837	631
64.8%	3240000	-234836.0094579521	301.4124123263295	631
65.0%	3250000	-235096.91875970992	298.61707767150835	631
65.2%	3260000	-234234.45971429977	301.85755411251415	631
65.4%	3270000	-235778.9902318779	302.26595345639515	631
65.6%	3280000	-235609.55560053024	299.2007732805247	631
65.8%	3290000	-235205.03881586227	302.51783222876566	631
66.0%	3300000	-234849.90894830856	303.33987070531975	631
66.2%	3310000	-235277.20148981246	301.56745233522133	631
66.4%	3320000	-234707.06210077438	302.6577698384396	631
66.6%	3330000	-234774.27758539352	300.62027390481995	631
66.8%	3340000	-235421.80813348922	301.6785406317027	631
67.0%	3350000	-235090.07659662399	304.2930491564328	631
67.2%	3360000	-235913.42727411422	300.18673588426367	631
67.4%	3370000	-236743.2864049736	301.0740078821611	631
67.6%	3380000	-235616.08001459274	302.02279778186994	631
67.8%	3390000	-234956.6340612236	297.8917424253914	631
68.0%	3400000	-235324.73292291793	301.14681814543195	631
68.2%	3410000	-235467.5308278862	301.2458942933248	631
68.4%	3420000	-234910.87225092086	301.69837858380475	631
68.6%	3430000	-235268.95940912399	301.7054941900115	631
68.8%	3440000	-235463.03051508102	297.6770944320293	631
69.0%	3450000	-235117.25530756149	299.3216814013605	631
69.2%	3460000	-235055.55303705367	301.5604201629051	631
69.4%	3470000	-235885.57932794723	302.73248925215546	631
69.6%	3480000	-235517.7047933403	300.84159553506873	631
69.8%	3490000	-235013.2526220146	299.43691758373944	631
70.0%	3500000	-235700.08097589645	297.9756153818408	631
70.2%	3510000	-235965.67680109176	296.36847598425544	631
70.4%	3520000	-234897.2544454399	301.479094338812	631
70.6%	3530000	-235291.83179987106	299.78643726521994	631
70.8%	3540000	-235313.8343786064	301.2361227068548	631
71.0%	3550000	-234605.43438470992	301.9306089995486	631
71.2%	3560000	-235189.74935663375	302.57019740962517	631
71.4%	3570000	-236474.70165765914	302.24104167617253	631
