#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
51.6%	2580000	-258618.5950798893	301.47374845242933	632
51.8%	2590000	-259329.027971735	299.55666711331054	632
52.0%	2600000	-259508.02049492835	303.49845078824103	632
52.2%	2610000	-259142.6652398014	301.7361381766103	632
52.4%	2620000	-258393.62819146155	300.1402781704539	632
52.6%	2630000	-259350.67335747718	296.7801001014069	632
52.8%	2640000	-259965.96040581702	302.1889078510733	632
53.0%	2650000	-259504.05729912757	301.85174643650447	632
53.2%	2660000	-258547.6423668766	301.32973110838833	632
53.4%	2670000	-259815.08680962562	298.2666501423466	632
53.6%	2680000	-258313.86873101234	300.94597020304377	632
53.8%	2690000	-258852.08662652015	299.71910317864155	632
54.0%	2700000	-259635.59175347327	301.3968106251186	632
54.2%	2710000	-259361.3118462467	300.71103509432015	632
54.4%	2720000	-258568.64802788734	302.8083635466213	632
54.6%	2730000	-258908.55616997718	298.4356530901479	632
54.8%	2740000	-259522.9329399967	298.31414237733827	632
55.0%	2750000	-259390.07890557288	302.030612944982	632
55.2%	2760000	-258749.55275200843	300.76248638267396	632
55.4%	2770000	-258818.10463189124	298.55559671977704	632
55.6%	2780000	-258610.47859429359	303.4317019834583	632
55.8%	2790000	-258482.48619317054	299.5510211173844	632
56.0%	2800000	-259598.3517632389	302.1146449869315	632
56.2%	2810000	-257754.1247734928	303.17294933384176	632
56.4%	2820000	-259629.8454766178	299.32389112147206	632
56.6%	2830000	-259318.64757012366	300.5054638236627	632
56.8%	2840000	-259255.24959038734	301.72195356578885	632
57.0%	2850000	-259372.12849663734	296.52938136340344	632
57.2%	2860000	-259960.73005913734	301.1926880046868	632
57.4%	2870000	-259243.73640679359	300.4361349041055	632
57.6%	2880000	-259430.59829949378	299.79200512383716	632
57.8%	2890000	-258460.38966607093	300.961907070776	632
58.0%	2900000	-258858.07087944984	300.329445689853	632
58.2%	2910000	-258533.64656304359	302.97830251346346	632
58.4%	2920000	-258325.87007378577	301.8713615725504	632
58.6%	2930000	-258871.0832085514	299.95439827187	632
58.8%	2940000	-259674.5310234928	300.7848575593857	632
59.0%	2950000	-259315.11531304359	300.4345740042503	632
59.2%	2960000	-259548.9397759342	303.5283852476641	632
59.4%	2970000	-259062.54011773109	300.06113069889074	632
59.6%	2980000	-259119.00642632484	301.75213516956836	632
59.8%	2990000	-258624.83357476234	298.87039809109484	632
60.0%	3000000	-259999.9397759342	298.99285367830095	632
60.2%	3010000	-258548.00740288734	302.5963215500568	632
60.4%	3020000	-259021.0325798893	303.36207238610314	632
60.6%	3030000	-258694.86531304359	302.12472662610105	632
60.8%	3040000	-258039.2146172428	303.6387524405611	632
61.0%	3050000	-259235.70286797523	300.75385504240063	632
61.2%	3060000	-258365.31404351234	298.3781834294559	632
61.4%	3070000	-258977.6663384342	304.90992779053613	632
61.6%	3080000	-258241.7489495182	301.9866135158978	632
61.8%	3090000	-259320.67161034583	297.7425145727316	632
62.0%	3100000	-259451.81276177405	303.8476804016519	632
62.2%	3110000	-258558.2669243717	303.34297651909753	632
62.4%	3120000	-259685.85682915687	301.65808272261177	632
62.6%	3130000	-259334.00248955726	302.2618978755495	632
62.8%	3140000	-259181.57472466468	300.52095285696157	632
63.0%	3150000	-259055.30635308265	298.77539501130263	632
63.2%	3160000	-258809.2751641178	303.1476648182278	632
63.4%	3170000	-258635.2884087467	301.9813032703138	632
63.6%	3180000	-259073.90425347327	299.2587283851982	632
63.8%	3190000	-259512.2027459049	297.0846330526045	632
64.0%	3200000	-259210.4192681217	301.5100044101129	632
64.2%	3210000	-258937.91408013343	301.86033145233944	632
64.4%	3220000	-259016.56135796546	299.0910742487575	632
64.6%	3230000	-258804.95759819984	297.18640489374644	632
64.8%	3240000	-258963.78630303382	302.16954998579547	632
65.0%	3250000	-259168.990572443	305.23180158480665	632
65.2%	3260000	-259196.50136040687	304.4967970312949	632
65.4%	3270000	-257706.25960015296	299.5792938039274	632
65.6%	3280000	-258705.79634331702	297.2574517764932	632
65.8%	3290000	-258689.5218377018	303.4565246036216	632
66.0%	3300000	-258758.88484429359	299.21872501769263	632
66.2%	3310000	-259690.7610649967	303.784159678285	632
66.4%	3320000	-258855.74696587562	298.67018229665473	632
66.6%	3330000	-258998.29905938148	299.1732969574954	632
66.8%	3340000	-258706.7747368717	299.8390897896732	632
67.0%	3350000	-258194.6891045475	297.8523623865113	632
67.2%	3360000	-258900.17482232093	304.5532438661923	632
67.4%	3370000	-258490.21681450843	299.42226485247363	632
67.6%	3380000	-259202.30511712073	302.2675337101086	632
67.8%	3390000	-259300.9685234928	300.3331620287645	632
68.0%	3400000	-259297.20515679359	302.81216813535525	632
68.2%	3410000	-258702.75468682288	302.11775502522414	632
68.4%	3420000	-258372.2375054264	297.137140263224	632
68.6%	3430000	-258723.40956353187	303.1575660797928	632
68.8%	3440000	-257993.96534966468	301.3596258209751	632
69.0%	3450000	-259226.60615777015	300.49174537140686	632
69.2%	3460000	-259072.69990777015	300.5535279243489	632
69.4%	3470000	-260000.16456841468	302.42286584067654	632
